Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Rank:554,Major:Middle Eastern Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:67900,MidCareer Pay:85100
Rank:554,Major:Painting & Printmaking,Bachelors,Degree Type:Bachelors,Early Career Pay:40500,MidCareer Pay:85100
Rank:556,Major:Criminology,Bachelors,Degree Type:Bachelors,Early Career Pay:52200,MidCareer Pay:85000
Rank:556,Major:New Media,Bachelors,Degree Type:Bachelors,Early Career Pay:53100,MidCareer Pay:85000
Rank:558,Major:Psychology & Social Behavior,Bachelors,Degree Type:Bachelors,Early Career Pay:53300,MidCareer Pay:84900
Rank:559,Major:Art & Design,Bachelors,Degree Type:Bachelors,Early Career Pay:53200,MidCareer Pay:84700
Rank:560,Major:Ecology,Bachelors,Degree Type:Bachelors,Early Career Pay:54700,MidCareer Pay:84500
Rank:560,Major:Interior Design,Bachelors,Degree Type:Bachelors,Early Career Pay:53200,MidCareer Pay:84500
Rank:560,Major:Multidisciplinary Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:51500,MidCareer Pay:84500
Rank:560,Major:Hospitality Management,Bachelors,Degree Type:Bachelors,Early Career Pay:55400,MidCareer Pay:84500
Rank:564,Major:Music,Bachelors,Degree Type:Bachelors,Early Career Pay:52700,MidCareer Pay:84400
Rank:565,Major:Health Sciences,Bachelors,Degree Type:Bachelors,Early Career Pay:52300,MidCareer Pay:84300
Rank:565,Major:Sociology,Bachelors,Degree Type:Bachelors,Early Career Pay:54700,MidCareer Pay:84300
Rank:567,Major:Physical Anthropology,Bachelors,Degree Type:Bachelors,Early Career Pay:57600,MidCareer Pay:84100
Rank:568,Major:Cardiopulmonary Science,Bachelors,Degree Type:Bachelors,Early Career Pay:58200,MidCareer Pay:84000
Rank:569,Major:Archaeology,Bachelors,Degree Type:Bachelors,Early Career Pay:52700,MidCareer Pay:83900
Rank:569,Major:Life Sciences,Bachelors,Degree Type:Bachelors,Early Career Pay:61100,MidCareer Pay:83900
Rank:569,Major:SocialStudies,Bachelors,Degree Type:Bachelors,Early Career Pay:54200,MidCareer Pay:83900
Rank:572,Major:Communication Arts,Bachelors,Degree Type:Bachelors,Early Career Pay:49600,MidCareer Pay:83800
Rank:573,Major:Health Information Management,Bachelors,Degree Type:Bachelors,Early Career Pay:57200,MidCareer Pay:83700
Rank:573,Major:Kinesiology,Bachelors,Degree Type:Bachelors,Early Career Pay:52600,MidCareer Pay:83700
Rank:573,Major:Clinical Laboratory Science,Bachelors,Degree Type:Bachelors,Early Career Pay:63400,MidCareer Pay:83700
Rank:576,Major:Spanish Language Teacher Education,Bachelors,Degree Type:Bachelors,Early Career Pay:56700,MidCareer Pay:83600
Rank:577,Major:Child Psychology,Bachelors,Degree Type:Bachelors,Early Career Pay:50500,MidCareer Pay:83500
Rank:577,Major:Exercise Physiology,Bachelors,Degree Type:Bachelors,Early Career Pay:50600,MidCareer Pay:83500
Rank:577,Major:Respiratory Care,Bachelors,Degree Type:Bachelors,Early Career Pay:63700,MidCareer Pay:83500
Rank:580,Major:Art Therapy,Bachelors,Degree Type:Bachelors,Early Career Pay:47500,MidCareer Pay:83400
Rank:580,Major:Medical Laboratory Science,Bachelors,Degree Type:Bachelors,Early Career Pay:64900,MidCareer Pay:83400
Rank:580,Major:Secondary Education,Bachelors,Degree Type:Bachelors,Early Career Pay:52100,MidCareer Pay:83400
Rank:580,Major:Theater,Bachelors,Degree Type:Bachelors,Early Career Pay:52800,MidCareer Pay:83400
Rank:584,Major:Hospital Administration,Bachelors,Degree Type:Bachelors,Early Career Pay:60100,MidCareer Pay:83300
Rank:584,Major:Practical Nursing,Bachelors,Degree Type:Bachelors,Early Career Pay:72100,MidCareer Pay:83300
Rank:586,Major:Health,Bachelors,Degree Type:Bachelors,Early Career Pay:51000,MidCareer Pay:83200
Rank:586,Major:Health Care Administration,Bachelors,Degree Type:Bachelors,Early Career Pay:53400,MidCareer Pay:83200
Rank:588,Major:Mass Media,Bachelors,Degree Type:Bachelors,Early Career Pay:47100,MidCareer Pay:82900
Rank:589,Major:Sustainability,Bachelors,Degree Type:Bachelors,Early Career Pay:56100,MidCareer Pay:82700
Rank:590,Major:Radiography,Bachelors,Degree Type:Bachelors,Early Career Pay:64700,MidCareer Pay:82600
Rank:591,Major:Media Communication,Bachelors,Degree Type:Bachelors,Early Career Pay:55000,MidCareer Pay:82500
Rank:592,Major:Applied Behavior Analysis,Bachelors,Degree Type:Bachelors,Early Career Pay:44700,MidCareer Pay:82400
Rank:592,Major:Biological Anthropology,Bachelors,Degree Type:Bachelors,Early Career Pay:54900,MidCareer Pay:82400
Rank:592,Major:Hotel & Restaurant Tourism,Bachelors,Degree Type:Bachelors,Early Career Pay:50200,MidCareer Pay:82400
Rank:592,Major:Respiratory Therapy,Bachelors,Degree Type:Bachelors,Early Career Pay:63800,MidCareer Pay:82400
Rank:596,Major:Radio & Television,Bachelors,Degree Type:Bachelors,Early Career Pay:50100,MidCareer Pay:82100
Rank:597,Major:Recreation Management,Bachelors,Degree Type:Bachelors,Early Career Pay:50300,MidCareer Pay:81900
Rank:598,Major:Humanities,Bachelors,Degree Type:Bachelors,Early Career Pay:58100,MidCareer Pay:81800
Rank:599,Major:Computer Art,Bachelors,Degree Type:Bachelors,Early Career Pay:45400,MidCareer Pay:81600
Rank:600,Major:Communications Technology,Bachelors,Degree Type:Bachelors,Early Career Pay:54100,MidCareer Pay:81500
Rank:600,Major:Psychiatry,Bachelors,Degree Type:Bachelors,Early Career Pay:65900,MidCareer Pay:81500
Rank:602,Major:Commercial Photography,Bachelors,Degree Type:Bachelors,Early Career Pay:50400,MidCareer Pay:81300
Rank:603,Major:Fashion Design & Marketing,Bachelors,Degree Type:Bachelors,Early Career Pay:55300,MidCareer Pay:81200
Rank:603,Major:Interdisciplinary Studies (IS),Bachelors,Degree Type:Bachelors,Early Career Pay:52200,MidCareer Pay:81200
Rank:603,Major:Web Design,Bachelors,Degree Type:Bachelors,Early Career Pay:55500,MidCareer Pay:81200
Rank:606,Major:Legal Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:55000,MidCareer Pay:81100
Rank:606,Major:Nutrition & Dietetics,Bachelors,Degree Type:Bachelors,Early Career Pay:59000,MidCareer Pay:81100
Rank:608,Major:Plant Sciences,Bachelors,Degree Type:Bachelors,Early Career Pay:57400,MidCareer Pay:80900
Rank:609,Major:Graphic Design,Bachelors,Degree Type:Bachelors,Early Career Pay:52900,MidCareer Pay:80800
Rank:609,Major:Fine Arts,Bachelors,Degree Type:Bachelors,Early Career Pay:50400,MidCareer Pay:80800
Rank:611,Major:Liberal Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:52800,MidCareer Pay:80700
Rank:611,Major:Modern Languages,Bachelors,Degree Type:Bachelors,Early Career Pay:58900,MidCareer Pay:80700
Rank:613,Major:Religion,Bachelors,Degree Type:Bachelors,Early Career Pay:51900,MidCareer Pay:80600
Rank:614,Major:Medical Technology,Bachelors,Degree Type:Bachelors,Early Career Pay:62800,MidCareer Pay:80500
Rank:615,Major:Dietetics,Bachelors,Degree Type:Bachelors,Early Career Pay:59700,MidCareer Pay:80300
Rank:615,Major:Health Administration,Bachelors,Degree Type:Bachelors,Early Career Pay:49500,MidCareer Pay:80300
Rank:615,Major:Missions,Bachelors,Degree Type:Bachelors,Early Career Pay:46700,MidCareer Pay:80300
Rank:618,Major:Applied Sociology,Bachelors,Degree Type:Bachelors,Early Career Pay:48900,MidCareer Pay:80100
Rank:619,Major:Criminal Justice,Bachelors,Degree Type:Bachelors,Early Career Pay:50000,MidCareer Pay:80000
Rank:620,Major:Ornamental Horticulture,Bachelors,Degree Type:Bachelors,Early Career Pay:47400,MidCareer Pay:79800
Rank:620,Major:Physical Geography,Bachelors,Degree Type:Bachelors,Early Career Pay:56100,MidCareer Pay:79800
Rank:622,Major:Landscape Management,Bachelors,Degree Type:Bachelors,Early Career Pay:61100,MidCareer Pay:79600
Rank:622,Major:Ministry,Bachelors,Degree Type:Bachelors,Early Career Pay:42700,MidCareer Pay:79600
Rank:622,Major:Public Health (PH),Bachelors,Degree Type:Bachelors,Early Career Pay:54000,MidCareer Pay:79600
Rank:625,Major:Speech-Language Pathology,Bachelors,Degree Type:Bachelors,Early Career Pay:51400,MidCareer Pay:79400
Rank:626,Major:Drawing,Bachelors,Degree Type:Bachelors,Early Career Pay:44300,MidCareer Pay:79300
Rank:627,Major:Health & Fitness,Bachelors,Degree Type:Bachelors,Early Career Pay:45300,MidCareer Pay:79200
Rank:628,Major:Forensic Psychology,Bachelors,Degree Type:Bachelors,Early Career Pay:49700,MidCareer Pay:79100
Rank:628,Major:Pastoral Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:60800,MidCareer Pay:79100
Rank:630,Major:Culture Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:53500,MidCareer Pay:79000
Rank:631,Major:Foods & Nutrition,Bachelors,Degree Type:Bachelors,Early Career Pay:54500,MidCareer Pay:78900
Rank:631,Major:Women's Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:52500,MidCareer Pay:78900
Rank:631,Major:Forensic Accounting,Bachelors,Degree Type:Bachelors,Early Career Pay:56200,MidCareer Pay:78900
Rank:634,Major:Animal Science,Bachelors,Degree Type:Bachelors,Early Career Pay:48300,MidCareer Pay:78800
Rank:635,Major:Performing Arts,Bachelors,Degree Type:Bachelors,Early Career Pay:52900,MidCareer Pay:78600
Rank:636,Major:Education,Bachelors,Degree Type:Bachelors,Early Career Pay:52200,MidCareer Pay:78500
Rank:637,Major:African American & African Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:55900,MidCareer Pay:78400
Rank:638,Major:Hospitality & Tourism,Bachelors,Degree Type:Bachelors,Early Career Pay:53200,MidCareer Pay:78200
Rank:638,Major:Modern Language Spanish,Bachelors,Degree Type:Bachelors,Early Career Pay:52400,MidCareer Pay:78200
Rank:640,Major:Arts & Science,Bachelors,Degree Type:Bachelors,Early Career Pay:53300,MidCareer Pay:77900
Rank:641,Major:Nutrition Science,Bachelors,Degree Type:Bachelors,Early Career Pay:57800,MidCareer Pay:77800
Rank:642,Major:Speech Pathology & Audiology,Bachelors,Degree Type:Bachelors,Early Career Pay:53100,MidCareer Pay:77700
Rank:643,Major:Media Production,Bachelors,Degree Type:Bachelors,Early Career Pay:50800,MidCareer Pay:77600
Rank:643,Major:Small Business Management,Bachelors,Degree Type:Bachelors,Early Career Pay:54000,MidCareer Pay:77600
Rank:645,Major:Painting,Bachelors,Degree Type:Bachelors,Early Career Pay:48500,MidCareer Pay:77500
Rank:645,Major:Social Science Teacher Education,Bachelors,Degree Type:Bachelors,Early Career Pay:53100,MidCareer Pay:77500
Rank:645,Major:Network Technology,Bachelors,Degree Type:Bachelors,Early Career Pay:64100,MidCareer Pay:77500
Rank:648,Major:Psychology & Sociology,Bachelors,Degree Type:Bachelors,Early Career Pay:50700,MidCareer Pay:77400
Rank:649,Major:Music Composition,Bachelors,Degree Type:Bachelors,Early Career Pay:51200,MidCareer Pay:77300
Rank:649,Major:Video Production,Bachelors,Degree Type:Bachelors,Early Career Pay:48900,MidCareer Pay:77300
Rank:651,Major:Dramatic Art,Bachelors,Degree Type:Bachelors,Early Career Pay:50000,MidCareer Pay:76700
Rank:652,Major:Mortuary Science,Bachelors,Degree Type:Bachelors,Early Career Pay:49100,MidCareer Pay:76600
Rank:652,Major:Technical Theatre,Bachelors,Degree Type:Bachelors,Early Career Pay:48000,MidCareer Pay:76600
Rank:654,Major:Family & Consumer Science,Bachelors,Degree Type:Bachelors,Early Career Pay:51300,MidCareer Pay:76500
Rank:654,Major:Radio Broadcasting,Bachelors,Degree Type:Bachelors,Early Career Pay:53100,MidCareer Pay:76500
Rank:654,Major:Theology,Bachelors,Degree Type:Bachelors,Early Career Pay:51800,MidCareer Pay:76500
Rank:657,Major:Health Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:50900,MidCareer Pay:76400
Rank:658,Major:Consumer Affairs,Bachelors,Degree Type:Bachelors,Early Career Pay:59500,MidCareer Pay:76200
Rank:659,Major:Vocal Performance,Bachelors,Degree Type:Bachelors,Early Career Pay:49900,MidCareer Pay:76100
Rank:660,Major:Art,Bachelors,Degree Type:Bachelors,Early Career Pay:51000,MidCareer Pay:76000
Rank:661,Major:Behavioral Science,Bachelors,Degree Type:Bachelors,Early Career Pay:50800,MidCareer Pay:75900
