Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Rank:737,Major:Special Education,Bachelors,Degree Type:Bachelors,Early Career Pay:48400,MidCareer Pay:65000
Rank:739,Major:Music Therapy,Bachelors,Degree Type:Bachelors,Early Career Pay:49400,MidCareer Pay:64900
Rank:740,Major:Rehabilitation Services,Bachelors,Degree Type:Bachelors,Early Career Pay:43600,MidCareer Pay:64700
Rank:741,Major:Developmental Psychology,Bachelors,Degree Type:Bachelors,Early Career Pay:44200,MidCareer Pay:63700
Rank:741,Major:Youth Ministry,Bachelors,Degree Type:Bachelors,Early Career Pay:44000,MidCareer Pay:63700
Rank:743,Major:Educational Psychology,Bachelors,Degree Type:Bachelors,Early Career Pay:48100,MidCareer Pay:63600
Rank:744,Major:Community & Human Services,Bachelors,Degree Type:Bachelors,Early Career Pay:49500,MidCareer Pay:63200
Rank:744,Major:Therapeutic Recreation,Bachelors,Degree Type:Bachelors,Early Career Pay:46700,MidCareer Pay:63200
Rank:746,Major:Social Work (SW),Bachelors,Degree Type:Bachelors,Early Career Pay:45000,MidCareer Pay:63000
Rank:747,Major:Elementary Education,Bachelors,Degree Type:Bachelors,Early Career Pay:47300,MidCareer Pay:62500
Rank:748,Major:Office Administration,Bachelors,Degree Type:Bachelors,Early Career Pay:45600,MidCareer Pay:62300
Rank:749,Major:Christian Education,Bachelors,Degree Type:Bachelors,Early Career Pay:47200,MidCareer Pay:62200
Rank:750,Major:Human Services (HS),Bachelors,Degree Type:Bachelors,Early Career Pay:45800,MidCareer Pay:61400
Rank:751,Major:Child Development,Bachelors,Degree Type:Bachelors,Early Career Pay:43400,MidCareer Pay:60400
Rank:752,Major:Middle School Education,Bachelors,Degree Type:Bachelors,Early Career Pay:49900,MidCareer Pay:60200
Rank:753,Major:Recreational Therapy,Bachelors,Degree Type:Bachelors,Early Career Pay:45700,MidCareer Pay:58900
Rank:754,Major:Early Childhood & Elementary Education,Bachelors,Degree Type:Bachelors,Early Career Pay:44900,MidCareer Pay:58000
Rank:755,Major:Outdoor Education,Bachelors,Degree Type:Bachelors,Early Career Pay:43400,MidCareer Pay:56900
Rank:756,Major:Baking & Pastry Arts,Bachelors,Degree Type:Bachelors,Early Career Pay:43700,MidCareer Pay:56500
Rank:757,Major:Child & Family Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:42900,MidCareer Pay:55300
Rank:758,Major:Mental Health,Bachelors,Degree Type:Bachelors,Early Career Pay:44100,MidCareer Pay:54500
Rank:759,Major:Equine Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:42300,MidCareer Pay:54100
Rank:760,Major:Nonprofit Administration,Bachelors,Degree Type:Bachelors,Early Career Pay:43900,MidCareer Pay:53700
Rank:761,Major:Addictions Counseling,Bachelors,Degree Type:Bachelors,Early Career Pay:47300,MidCareer Pay:52400
Rank:762,Major:Early Childhood Education,Bachelors,Degree Type:Bachelors,Early Career Pay:43400,MidCareer Pay:52200
Rank:763,Major:Metalsmithing,Bachelors,Degree Type:Bachelors,Early Career Pay:45900,MidCareer Pay:46600
